"kementerian_nama","program","unit_organisasi","kegiatan","unit_eselon2","fungsi","subfungsi","output_program","output","satuan","dijumlahkan","multiyears","jns_output","rab","tor","sasaran_kegiatan","sasaran_program","sasaran_strategis","suboutput","komponen","jns_komponen","type_komponen","indikasi_pbj","satuan_komponen","kewenangan","propinsi","kabupaten","nawacita","janpres","tematiks","pb","pn","pp","kp","pro_pn","pns","pps","kps","pro_pns","kerangka_regulasi","alokasi_rp","alokasi_pnbp","alokasi_blu","alokasi_pln","alokasi_rmp","alokasi_pdn","alokasi_hibah","alokasi_ph","alokasi_hn","alokasi_sbsn","alokasi_total","alokasi_1","alokasi_2","alokasi_3"
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","051-Penyusunan Program Legislasi dan Regulasi Sektor Energi dan Sumber Daya Mineral 2020","Pendukung","NON OPS","Swakelola","Laporan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",333267,0,0,0,0,0,0,0,0,0,333267,801666,961999,1154399
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","052- Koordinasi dan Pembahasan Rancangan UU tentang Minyak dan Gas Bumi","Utama","NON OPS","Swakelola","Rancangan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",314746,0,0,0,0,0,0,0,0,0,314746,971880,1166256,1399507
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","053-Penyusunan Rancangan Peraturan PerUUan di Bidang Minyak dan Gas Bumi, Ketenagalistrikan serta EBTKE","Utama","NON OPS","Swakelola","Rancangan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",732050,0,0,0,0,0,0,0,0,0,732050,1670538,2004646,2405575
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","054-Penyusunan Rancangan Keputusan Menteri ESDM Bidang Migas, Ketenagalistrikan serta EBTKE","Utama","NON OPS","Swakelola","Rancangan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",119937,0,0,0,0,0,0,0,0,0,119937,258006,309607,371529
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","055-Penyusunan Rancangan Peraturan PerUUan Bidang Mineral, Batubara, Geologi, Pengembangan Sumber Daya Manusia, Penelitian dan Pengembangan, Sekretariat Jenderal dan Inspektorat Jenderal ","Utama","NON OPS","Swakelola","Rancangan ","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",851229,0,0,0,0,0,0,0,0,0,851229,1740573,2088687,2506425
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","056-Penyusunan Rancangan Keputusan Bidang Mineral, Batubara, Setjen, Itjen dan Badan","Utama","NON OPS","Swakelola","Rancangan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",202335,0,0,0,0,0,0,0,0,0,202335,350207,420248,504297
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","057-Pemantapan Perancang Dalam Penyusunan Peraturan PerUUan Sektor ESDM","Pendukung","NON OPS","Swakelola","Laporan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",215816,0,0,0,0,0,0,0,0,0,215816,359705,431645,517974
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","058-Persiapan Bahan Masukan  Rancangan Perubahan UU Pertambangan Mineral dan Batubara Kepada DPR","Utama","NON OPS","Swakelola","Rancangan","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",230620,0,0,0,0,0,0,0,0,0,230620,940042,1128050,1353661
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","059-Pertimbangan Hukum/Opini Hukum terhadap Peraturan PerUUan Sektor Lain yang terkait dengan Peraturan PerUUan Sektor ESDM","Utama","NON OPS","Swakelola","Persetujuan/Rekomendasi","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",226842,0,0,0,0,0,0,0,0,0,226842,940613,1128735,1354482
"KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL","020.01.01-Program Dukungan Manajemen dan Pelaksanaan Tugas Teknis Lainnya Kementerian ESDM","01-Sekretariat Jenderal","1880-Pembinaan Administrasi Hukum KESDM","02-Biro Hukum","EKONOMI","BAHAN BAKAR DAN ENERGI","02-Kepastian hukum sektor KESDM dalam rangka mendorong peningkatan investasi KESDM","957-Layanan Hukum","1-Layanan","false","false","Reguler Lanjutan / MYC","RAB_2020_Layanan Hukum 2020.pdf","TOR LAYANAN HUKUM NETT .pdf","01-Terwujudnya kepastian hukum, informasi hukum, layanan Hukum sektor ESDM","05-Terwujudnya kepastian hukum sektor ESDM","03-Perumusan Kebijakan & Regulasi Sektor ESDM yang Berkualitas","001-Tanpa suboutput","060-Pertimbangan Hukum /Opini Hukum Atas Permasalahan Izin/Kontrak/MoU di Sektor ESDM","Utama","NON OPS","Swakelola","Persetujuan/Rekomendasi","Pusat","00-Pusat","0000-Pusat","","","000 - Bukan Tematik","00-Bukan prioritas bidang","","","","","","","","","Ya",1018139,0,0,0,0,0,0,0,0,0,1018139,2316000,2779200,3335040
